frame,time,bone,true_deg,computed_deg,diff_deg,raw_deg,pre_clamp_deg,clamped_deg,filtered_deg,expected_proj_mag,current_proj_mag,ref_axis_angle_deg,degenerate,held_previous_raw,ref_to_bone_forward_deg,ref_to_bone_up_deg,ref_to_bone_right_deg,axis_x,axis_y,axis_z,ref_x,ref_y,ref_z
11,0.3667,L_LowerArm,18.38,28.31,9.92,23.89,23.89,23.89,28.31,0.9987,0.9985,93.12,N,N,83.53,91.03,173.45,-0.11354,-0.49342,0.86235,0.86544,-0.45505,-0.20961
11,0.3667,R_UpperArm,-12.14,62.53,74.67,-28.47,61.47,61.47,62.53,0.9988,0.9363,69.45,N,N,96.50,89.06,173.43,-0.07709,-0.68793,0.72167,0.88945,-0.16155,0.42753
11,0.3667,R_LowerArm,-14.47,-89.94,-75.47,-144.51,-144.51,-90.00,-89.94,0.9989,0.9430,109.44,N,N,96.50,89.06,173.43,-0.58664,0.50522,0.63293,0.88945,-0.16155,0.42753
11,0.3667,L_UpperLeg,-8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.0972,0.7368,132.54,Y,N,19.05,102.06,104.52,0.12132,-0.77900,0.61517,0.02728,0.98867,0.14757
11,0.3667,L_LowerLeg,3.45,0.00,-3.45,0.00,0.00,0.00,0.00,0.1203,0.3589,158.97,Y,N,19.05,102.06,104.52,0.04651,-0.97665,0.20974,0.02728,0.98867,0.14757
11,0.3667,R_UpperLeg,1.89,0.00,-1.89,0.00,0.00,0.00,0.00,0.0956,0.0920,174.72,Y,N,55.92,145.68,93.56,-0.04418,-0.99737,-0.05743,0.02728,0.98867,0.14757
11,0.3667,R_LowerLeg,-2.76,0.00,2.76,0.00,0.00,0.00,0.00,0.1152,0.4763,151.55,Y,N,55.92,145.68,93.56,0.03821,-0.80128,-0.59707,0.02728,0.98867,0.14757
12,0.4000,L_UpperArm,-9.79,-15.99,-6.20,13.22,-13.76,-13.76,-15.99,0.9987,0.8752,118.93,N,N,83.53,91.03,173.45,-0.67568,-0.49841,0.54318,0.89973,-0.41057,-0.14807
12,0.4000,L_LowerArm,18.39,26.98,8.59,26.32,26.32,26.32,26.98,0.9987,0.9973,94.24,N,N,83.53,91.03,173.45,-0.18266,-0.52110,0.83372,0.89973,-0.41057,-0.14807
12,0.4000,R_UpperArm,-19.05,61.77,80.81,-29.62,60.35,60.35,61.77,0.9988,0.9428,70.52,N,N,96.50,89.06,173.43,-0.29793,-0.51994,0.80056,0.74434,-0.04150,0.66651
12,0.4000,R_LowerArm,-14.33,-89.97,-75.64,-170.76,-170.76,-90.00,-89.97,0.9989,0.9483,108.50,N,N,96.50,89.06,173.43,-0.74614,0.53898,0.39086,0.74434,-0.04150,0.66651
12,0.4000,L_UpperLeg,-12.53,0.00,12.53,0.00,0.00,0.00,0.00,0.0972,0.7650,130.10,Y,N,16.75,98.78,104.15,0.11298,-0.77070,0.62710,0.00551,0.98353,0.18068
12,0.4000,L_LowerLeg,-0.38,0.00,0.38,0.00,0.00,0.00,0.00,0.1203,0.3890,157.11,Y,N,16.75,98.78,104.15,0.05054,-0.97592,0.21220,0.00551,0.98353,0.18068
12,0.4000,R_UpperLeg,-6.85,0.00,6.85,0.00,0.00,0.00,0.00,0.0956,0.3622,158.76,Y,N,50.42,140.40,90.88,-0.08364,-0.98020,0.17948,0.00551,0.98353,0.18068
12,0.4000,R_LowerLeg,-0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.1152,0.4730,151.77,Y,N,50.42,140.40,90.88,-0.08854,-0.78199,-0.61697,0.00551,0.98353,0.18068
13,0.4333,L_UpperArm,-10.19,-16.04,-5.85,15.56,-16.07,-16.07,-16.04,0.9987,0.9026,115.49,N,N,83.53,91.03,173.45,-0.66864,-0.65887,0.34469,0.95619,-0.28705,0.05744
13,0.4333,L_LowerArm,20.80,31.64,10.83,35.46,35.46,35.46,31.64,0.9987,0.9963,94.93,N,N,83.53,91.03,173.45,-0.30708,-0.57149,0.76099,0.95619,-0.28705,0.05744
13,0.4333,R_UpperArm,-23.60,-44.26,-20.66,-27.44,-99.65,-70.00,-44.26,0.9988,0.9424,70.46,N,N,96.50,89.06,173.43,-0.54208,-0.37010,0.75444,0.50902,0.09465,0.85553
13,0.4333,R_LowerArm,-14.24,72.21,86.44,142.70,142.70,90.00,72.21,0.9989,0.9612,106.00,N,N,96.50,89.06,173.43,-0.82320,0.55780,0.10582,0.50902,0.09465,0.85553
13,0.4333,L_UpperLeg,-15.62,0.00,15.62,0.00,0.00,0.00,0.00,0.0972,0.7876,128.04,Y,N,15.22,96.77,103.57,0.09862,-0.75360,0.64989,-0.01882,0.98112,0.19247
13,0.4333,L_LowerLeg,-3.53,0.00,3.53,0.00,0.00,0.00,0.00,0.1203,0.3733,158.08,Y,N,15.22,96.77,103.57,0.05200,-0.98111,0.18631,-0.01882,0.98112,0.19247
13,0.4333,R_UpperLeg,-10.26,0.00,10.26,0.00,0.00,0.00,0.00,0.0956,0.6253,141.29,Y,N,41.65,131.51,92.81,-0.09697,-0.88615,0.45315,-0.01882,0.98112,0.19247
13,0.4333,R_LowerLeg,1.72,0.00,-1.72,0.00,0.00,0.00,0.00,0.1152,0.3140,161.70,Y,N,41.65,131.51,92.81,-0.08935,-0.87669,-0.47269,-0.01882,0.98112,0.19247
14,0.4667,L_UpperArm,-15.09,-17.08,-1.99,17.18,-17.84,-17.84,-17.08,0.9987,0.9245,112.40,N,N,83.53,91.03,173.45,-0.58432,-0.80772,0.07840,0.93444,-0.17397,0.31074
14,0.4667,L_LowerArm,21.17,35.03,13.86,42.51,42.51,42.51,35.03,0.9987,0.9989,92.70,N,N,83.53,91.03,173.45,-0.38427,-0.68263,0.62158,0.93444,-0.17397,0.31074
14,0.4667,R_UpperArm,-24.40,-65.12,-40.72,-14.88,-90.89,-70.00,-65.12,0.9988,0.9153,66.24,N,N,96.50,89.06,173.43,-0.76936,-0.28875,0.56983,0.13071,0.18046,0.97486
14,0.4667,R_LowerArm,-14.06,76.00,90.07,76.49,76.49,76.49,76.00,0.9989,0.9786,101.87,N,N,96.50,89.06,173.43,-0.80255,0.55951,-0.20702,0.13071,0.18046,0.97486
14,0.4667,L_UpperLeg,-18.72,0.00,18.72,0.00,0.00,0.00,0.00,0.0972,0.8000,126.87,Y,N,12.78,94.95,101.75,0.06999,-0.73972,0.66927,-0.05389,0.97989,0.19210
14,0.4667,L_LowerLeg,-6.84,0.00,6.84,0.00,0.00,0.00,0.00,0.1203,0.3529,159.34,Y,N,12.78,94.95,101.75,0.04047,-0.98525,0.16628,-0.05389,0.97989,0.19210
14,0.4667,R_UpperLeg,-11.19,0.00,11.19,0.00,0.00,0.00,0.00,0.0956,0.7388,132.37,Y,N,33.36,120.57,102.06,-0.09553,-0.80723,0.58245,-0.05389,0.97989,0.19210
