frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
43,1.4333,R_LowerArm,-22.27,-65.52,-43.25,Y
43,1.4333,L_UpperLeg,14.16,0.00,-14.16,Y
43,1.4333,L_LowerLeg,-3.20,0.00,3.20,Y
43,1.4333,R_UpperLeg,5.47,0.00,-5.47,Y
43,1.4333,R_LowerLeg,-1.01,0.00,1.01,Y
44,1.4667,L_UpperArm,-3.29,-69.98,-66.69,Y
44,1.4667,L_LowerArm,10.36,42.44,32.09,Y
44,1.4667,R_UpperArm,13.34,54.84,41.51,Y
44,1.4667,R_LowerArm,-18.22,-64.25,-46.03,Y
44,1.4667,L_UpperLeg,14.79,0.00,-14.79,Y
44,1.4667,L_LowerLeg,-2.76,0.00,2.76,Y
44,1.4667,R_UpperLeg,4.13,0.00,-4.13,Y
44,1.4667,R_LowerLeg,-0.56,0.00,0.56,Y
45,1.5000,L_UpperArm,-4.90,-69.99,-65.09,Y
45,1.5000,L_LowerArm,8.63,35.97,27.34,Y
45,1.5000,R_UpperArm,13.63,52.69,39.05,Y
45,1.5000,R_LowerArm,-14.46,-61.47,-47.01,Y
45,1.5000,L_UpperLeg,14.82,0.00,-14.82,Y
45,1.5000,L_LowerLeg,-2.39,0.00,2.39,Y
45,1.5000,R_UpperLeg,2.91,0.00,-2.91,Y
45,1.5000,R_LowerLeg,-0.10,0.00,0.10,Y
46,1.5333,L_UpperArm,-6.15,-69.99,-63.84,Y
46,1.5333,L_LowerArm,7.37,33.70,26.32,Y
46,1.5333,R_UpperArm,13.33,50.25,36.92,Y
46,1.5333,R_LowerArm,-11.53,-58.23,-46.70,Y
46,1.5333,L_UpperLeg,14.45,0.00,-14.45,Y
46,1.5333,L_LowerLeg,-2.16,0.00,2.16,Y
46,1.5333,R_UpperLeg,1.52,0.00,-1.52,Y
46,1.5333,R_LowerLeg,0.31,0.00,-0.31,Y
47,1.5667,L_UpperArm,-6.86,-70.00,-63.13,Y
47,1.5667,L_LowerArm,7.06,35.23,28.16,Y
47,1.5667,R_UpperArm,12.16,48.29,36.13,Y
47,1.5667,R_LowerArm,-10.17,-55.89,-45.72,Y
47,1.5667,L_UpperLeg,13.84,0.00,-13.84,Y
47,1.5667,L_LowerLeg,-2.12,0.00,2.12,Y
47,1.5667,R_UpperLeg,0.19,0.00,-0.19,Y
47,1.5667,R_LowerLeg,0.45,0.00,-0.45,Y
48,1.6000,L_UpperArm,-7.42,-70.00,-62.58,Y
48,1.6000,L_LowerArm,6.46,35.76,29.30,Y
48,1.6000,R_UpperArm,10.58,47.06,36.48,Y
48,1.6000,R_LowerArm,-9.59,-54.47,-44.88,Y
48,1.6000,L_UpperLeg,13.10,0.00,-13.10,Y
48,1.6000,L_LowerLeg,-2.23,0.00,2.23,Y
48,1.6000,R_UpperLeg,-0.82,0.00,0.82,Y
48,1.6000,R_LowerLeg,0.39,0.00,-0.39,Y
49,1.6333,L_UpperArm,-7.86,-70.00,-62.13,Y
